id,"name",locked,"description","target","last_start","last_stop","identifier"
1,"Get-Poem",NULL,"get poem content","http://so.gushiwen.org/","2016-06-01 17:45:05","2016-06-01 20:21:39","POEM-CONTENT"
2,"Get-Poem-links",NULL,"get poem links","http://so.gushiwen.org/type.aspx?p=",NULL,NULL,"POEM-DETAIL"
3,"Author-Fillup",NULL,"fill up author information","http://so.gushiwen.org/","2016-06-15 17:00:59","2016-06-15 17:07:58","AUTHOR-FILL-UP"
4,"DOWNLOAD-AUTHOR-AVATAR",NULL,NULL,NULL,"2016-04-27 10:39:19","2016-04-27 10:40:30","DOWNLOAD-AUTHOR-AVATAR"
5,"Object-to-json-file",NULL,"db objects to json files",NULL,"2016-06-20 15:52:32","2016-06-20 15:52:43","OBJECTS-TO-JSON-file"
6,"Poem content proccessing",NULL,"1) remove backspace, 2) remove (things) 3) remove signs 4) add pinyin 5) remove useless attributs",NULL,NULL,NULL,"POEM-CONTENT-PROCESSING"
7,"Grab-Tag",NULL,"get tags","http://so.gushiwen.org/shiwen/tags.aspx","2016-04-29 11:21:32","2016-04-29 11:21:38","TAGS"
8,"Grab-urls-by-types",NULL,NULL,"http://so.gushiwen.org/type.aspx?p=","2016-05-06 17:12:24","2016-05-06 17:39:28","Poem-detail-in-tags"
10,"get-poem-resource-by-author",NULL,"get-poem-resource-by-author","http://so.gushiwen.org/search.aspx?type=author&value=","2016-05-11 15:26:20","2016-05-11 17:53:10","get-poem-resource-by-author"
11,"fill-up-author-birthday",NULL,"fill-up-author-birthday",NULL,"2016-06-15 17:17:56","2016-06-15 17:19:01","fill-up-author-birthday"
12,"author-to-json-file",NULL,"author-to-json-file",NULL,"2016-06-20 15:43:02","2016-06-20 15:43:04","author-to-json-file"
13,"grab-author-links",NULL,"grab-author-links","http://so.gushiwen.org/authors/Default.aspx?p=","2016-06-15 16:55:59","2016-06-15 16:58:35","grab-author-links"
